compiler_0;compiler_1;original_width;original_depth;original_multi_qubit_gate_depth;original_total_number_of_operations;original_number_of_single_qubit_gates;original_number_of_multi_qubit_gates;original_number_of_measurement_operations;avg_single_qubit_gate_error;avg_multi_qubit_gate_error;avg_single_qubit_gate_time;avg_multi_qubit_gate_time;avg_readout_error;t1;t2;model
0.043468623;0.044212073;0.209246493;0.033683713;0.042639813;0.051470297;0.044696783;0.091763057;0.222394354;0.002027043;0.089624927;0.017373401;0.022128878;0.003373967;0.021207484;0.019156405;ETR
0.034833772;0.035473036;0.197405875;0.033532904;0.044126071;0.049698234;0.040531902;0.0998406;0.206420676;0.004976071;0.078491897;0.020396978;0.020668923;0.004542677;0.020150828;0.020995598;BR(ETR)
0.07448106;0.07309386;0.081533771;0.044071595;0.026849155;0.095195046;0.119623141;0.406183847;0.044421694;0.008587636;0.288846996;0.004965778;0.027210928;0.02070068;0.003456103;0.010014973;ABR(DTR)
0.04078032;0.04275632;0.215364004;0.032676562;0.042163368;0.047343991;0.037815284;0.090010157;0.207931133;0.004840771;0.093386866;0.021408258;0.021271023;0.004189452;0.019309665;0.020823361;ABR(ETR)
0.034297379;0.033247426;0.060857005;0.033700859;0.018244316;0.119887247;0.105624966;0.455611359;0.052158294;0.017042392;0.059353492;0.01712943;0.025067802;0.027174717;0.009380906;0.011079073;RFR
0.03384254;0.032584062;0.045989271;0.035911141;0.023211057;0.118273751;0.170068729;0.560924132;0.095454222;0.022320295;0.084739697;0.021700678;0.032072884;0.038352313;0.007757945;0.010623441;BR(DTR)
0.038214625;0.037336001;0.08102005;0.035803614;0.026815538;0.087457751;0.124883375;0.277673027;0.067102936;0.012534955;0.206356545;0.013222241;0.026114172;0.017418272;0.007716362;0.009409893;ABR(RFR)
0.020250654;0.020366913;0.057426659;0.027140998;0.022113816;0.078098417;0.074973212;0.389580307;0.053554544;0.015706751;0.083382359;0.01474695;0.024311281;0.021533992;0.008725546;0.010314599;BR(RFR)
0.012211906;0.012211906;0.192476359;0.02699647;0.055591243;0.075894541;0.064194445;0.224080975;0.096783821;0.029058761;0.075332548;0.020287759;0.020122164;0.007544486;0.020286667;0.02030029;NuSVR
0.015456912;0.015040148;0.056180445;0.016211435;0.012184284;0.058058726;0.046233577;0.530027474;0.058762319;0.007692676;0.051760064;0.017145663;0.014618755;0.013981834;0.013053826;0.014133183;BR(GBR)
0.010218081;0.010218081;0.215719263;0.030252727;0.052604343;0.073245994;0.064318109;0.223576688;0.096218764;0.030477765;0.078499543;0.023698141;0.023509639;0.013072095;0.023696651;0.023710333;BR(NuSVR)
0.020032706;0.019285381;0.036087996;0.013212607;0.014402664;0.073500996;0.090756985;0.675218304;0.051138136;0.016560878;0.045798542;0.022235926;0.0054201;0.021753539;0.007599528;0.021625148;GBR
0.024198741;0.024290586;0.228143801;0.059708014;0.046400648;0.098553889;0.130114124;0.091820408;0.181311548;0.071605321;0.120310153;-0.000115034;-0.000108073;0.014747339;-0.000115034;-0.000121318;ABR(KNNR)
0.037839999;0.00235992;0.153501896;0.042761247;0.017138878;0.110363501;0.037508282;0.383964598;0.002892378;0.06095856;0.126471986;0.01911652;0.005001685;0.007638615;0.002999545;0.006643416;BR(HGBR)
0.089736337;0.088894353;0.039520574;0.11896731;0.07642855;0.829890766;0.919471477;1.41353E+14;0.054506149;0.093372943;0.138256293;0.056908436;0.063330119;0.155111525;0.06190236;0.081548028;DTR
0.024018413;0.02451378;0.098892421;0.025160401;0.031099182;0.065186606;0.066872069;0.260649673;0.094322933;0.010321547;0.100715878;0.014245875;0.031591264;0.019668298;0.008341903;0.012165533;ABR(GBR)
0.000684246;0.0010235;0.167538537;0.03815716;0.036592262;0.059692846;0.075370413;0.070832293;0.163549413;0.049488916;0.037430583;0;-2.12E+08;0.016230664;0;-1.46E+09;KNNR
-0.002768465;-0.002614277;0.152726411;0.031154178;0.028935816;0.054529591;0.072615626;0.056688971;0.152688014;0.044370654;0.035000743;-2.71E+09;-4.99E+09;0.015731278;-2.71E+09;-3.32E+08;BR(KNNR)
0.080590136;0.003830339;0.276307619;0.062682523;0.027548396;0.102663149;0.069168626;0.198138602;0.005427498;0.052872858;0.154162166;0.012600969;0.016787031;0.013367528;0.003573548;0.009400956;ABR(HGBR)
0.047073152;0.003026465;0.036721801;0.089105009;0.008747226;0.134815203;0.055844227;0.75304799;0.003422246;0.043811659;0.304365461;0.016035357;0.004009314;0.008627314;0.001084998;0.010041176;HBGR
