Duration;model;test SEM;test error;train SEM;train error
4.9s;ETR;0.00241876;0.076416687;0.00013935;0.002039578
34.9s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=ExtraTreesRegressor()))])";0.002554151;0.076960383;0.000336915;0.026695317
1.8s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=DecisionTreeRegressor()))])";0.002744067;0.077890573;0.000281876;0.008637241
51.7s;ABR(ETR);0.002464525;0.079107469;0.000310318;0.0114102
6.0s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('randomforestregressor', RandomForestRegressor())])";0.001788452;0.083435878;0.000320846;0.026824787
1.0s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=DecisionTreeRegressor()))])";0.002781521;0.086022618;0.000392301;0.029220023
1.2min;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=RandomForestRegressor()))])";0.002382666;0.086198012;0.000649084;0.028127608
44.0s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=RandomForestRegressor()))])";0.003210779;0.086538042;0.000467773;0.045390563
0.8s;Pipeline(steps=[('standardscaler', StandardScaler()), ('nusvr', NuSVR())]);0.002470868;0.08916179;0.000735196;0.066150077
17.8s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=GradientBoostingRegressor()))])";0.003186107;0.090024962;0.000573483;0.052296045
3.6s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor', BaggingRegressor(estimator=NuSVR()))])";0.002494849;0.090164134;0.000631934;0.069218509
2.6s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('gradientboostingregressor', GradientBoostingRegressor())])";0.002936295;0.091399115;0.000617527;0.048118345
2.9s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=KNeighborsRegressor()))])";0.002775252;0.091793465;0.00123072;0.058690516
2.1min;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=HistGradientBoostingRegressor()))])";0.002244158;0.094186775;0.000439216;0.051693589
356ms;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('decisiontreeregressor', DecisionTreeRegressor())])";0.003352185;0.096096099;0.000139692;0.002042975
33.6s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=GradientBoostingRegressor()))])";0.002595336;0.096324709;0.000581358;0.054687366
443ms;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('kneighborsregressor', KNeighborsRegressor())])";0.002823096;0.09660352;0.00072303;0.071857848
1.4s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=KNeighborsRegressor()))])";0.002794616;0.097279083;0.000698901;0.072878399
3.1min;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor',
                 AdaBoostRegressor(estimator=HistGradientBoostingRegressor()))])";0.00323957;0.097940161;0.000746946;0.046862813
14.5s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('histgradientboostingregressor',
                 HistGradientBoostingRegressor())])";0.002464387;0.09815555;0.000437074;0.047629887
0.7s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('svr', SVR(max_iter=1000))])";0.002537126;0.10207608;0.000730576;0.083986687
1.7s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=SVR(max_iter=1000)))])";0.002577986;0.103785763;0.000693077;0.085715184
47.6s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('baggingregressor',
                 BaggingRegressor(estimator=MLPRegressor()))])";0.002907483;0.104552396;0.001028808;0.085855338
5.0s;"Pipeline(steps=[('standardscaler', StandardScaler()),
                ('adaboostregressor', AdaBoostRegressor(estimator=NuSVR()))])";0.00260896;0.105772477;0.001290631;0.082758702
