Circuit;qpu name;compiler;execution result;number of shots;histo inter;width;depth;multiqdepth;total num ops;# single g;# multi g;# meas ops;single err;multi err;single g time;mulit g time;readout err;t1;t2;queue size;TOP-C-Q-50;TOP-C-Q-Val-50;PRO-C-Q-50;PRO-C-Q-Val-50;ELE-C-Q-50;TOP-Que-50;TOP-Que-Val-50;PRO-Que-50;PRO-Que-Val-50;ELE-Que-50
shor-fix-15;ibmq_qasm_simulator;qiskit;{000=4035, 100=4157};8192;1;5;7;4;10;2;5;3;0;0;0;0;0;99999;99999;2;1;0,858558226;1;0,55185905;1;1;0,833335105;1;0,47748942;1
shor-fix-15;ibmq_manila;pytket;{000=4166, 001=20, 010=48, 011=1, 100=3890, 101=31, 110=35, 111=1};8192;0,967407227;5;11;2;13;8;2;3;0,000191173;0,007548308;26,66666667;350,2222222;0,02762;195,8578339;59,11248848;5;2;0,677743637;2;0,20808869;4;4;0,556232227;3;0,06453582;4
shor-fix-15;ibmq_lima;pytket;{000=4113, 001=60, 010=43, 011=2, 100=3884, 101=59, 110=28, 111=3};8192;0,966674805;5;11;2;13;8;2;3;0,000255855;0,010499085;26,66666667;387,5555556;0,02792;93,93756879;103,4710873;2;3;0,66537681;3;0,04631439;4;2;0,677933858;4;0,04007297;4
shor-fix-15;ibmq_quito;pytket;{000=4216, 001=39, 010=32, 100=3850, 101=31, 110=24};8192;0,962524414;5;11;2;13;8;2;3;0,00083408;0,024837885;26,66666667;277,3333333;0,05634;100,7355939;106,766057;1;4;0,574211647;4;0,0332681;4;3;0,62080796;2;0,14429523;4
shor-fix-15;ibmq_manila;qiskit;{000=3912, 001=65, 010=98, 011=2, 100=3926, 101=86, 110=100, 111=3};8192;0,956787109;4;23;9;36;24;9;3;0,000191173;0,007548308;26,66666667;350,2222222;0,02762;195,8578339;59,11248848;5;6;0,320739724;5;-0,34898886;6;7;0,282473332;7;-0,41746878;6
shor-fix-15;ibmq_lima;qiskit;{000=4161, 001=143, 010=98, 011=42, 100=3508, 101=121, 110=86, 111=33};8192;0,920776367;5;16;6;27;15;9;3;0,000255855;0,010499085;26,66666667;387,5555556;0,02792;93,93756879;103,4710873;2;5;0,430600054;6;-0,42204824;6;5;0,492882087;5;-0,36517214;5
shor-fix-15;ibmq_quito;qiskit;{000=3611, 001=356, 010=234, 011=60, 100=3371, 101=308, 110=207, 111=45};8192;0,852294922;5;20;11;30;13;14;3;0,00083408;0,024837885;26,66666667;277,3333333;0,05634;100,7355939;106,766057;1;7;0,200897316;7;-0,571428554;7;6;0,386755906;6;-0,37891124;7
grover-sat;ibmq_qasm_simulator;qiskit;{11=8192};8192;1;3;14;6;21;13;6;2;0;0;0;0;0;99999;99999;2;1;1;1;0,739726;1;1;0,876004019;1;0,650602393;1
grover-sat;ibmq_lima;pytket;{00=143, 01=434, 10=452, 11=7163};8192;0,874389648;3;27;9;45;34;9;2;0,000255855;0,010499085;26,66666667;387,5555556;0,02792;93,93756879;103,4710873;2;3;0,446398894;3;-0,10632745;5;2;0,518630612;4;-0,09351693;4
grover-sat;ibmq_manila;pytket;{00=153, 01=603, 10=501, 11=6935};8192;0,846557617;3;27;9;45;34;9;2;0,000191173;0,007548308;26,66666667;350,2222222;0,02762;195,8578339;59,11248848;5;2;0,471297392;2;0,05544682;5;6;0,380074967;3;-0,05450371;4
grover-sat;ibmq_quito;pytket;{00=208, 01=491, 10=628, 11=6865};8192;0,838012695;3;27;9;45;34;9;2;0,00083408;0,024837885;26,66666667;277,3333333;0,05634;100,7355939;106,766057;1;6;0,293849805;4;-0,1193738;5;3;0,466787836;2;-0,00172115;4
grover-sat;ibmq_lima;qiskit;{00=262, 01=540, 10=641, 11=6749};8192;0,823852539;3;44;13;64;49;13;2;0,000255855;0,010499085;26,66666667;387,5555556;0,02792;93,93756879;103,4710873;2;5;0,304121732;7;-0,595564266;7;4;0,41166982;7;-0,52380953;7
grover-sat;ibmq_manila;qiskit;{00=400, 01=670, 10=478, 11=6644};8192;0,811035156;3;30;13;48;33;13;2;0,000191173;0,007548308;26,66666667;350,2222222;0,02762;195,8578339;59,11248848;5;4;0,409151742;5;-0,18721463;5;7;0,338276358;5;-0,26792887;7
grover-sat;ibmq_quito;qiskit;{00=381, 01=600, 10=1013, 11=6198};8192;0,756591797;3;42;13;61;46;13;2;0,00083408;0,024837885;26,66666667;277,3333333;0,05634;100,7355939;106,766057;1;7;0,067217701;6;-0,52641879;7;5;0,393877465;6;-0,35972456;7
bv-00110;ibmq_qasm_simulator;qiskit;{00110=8192};8192;1;5;5;2;16;10;2;4;0;0;0;0;0;99999;99999;2;1;1;1;0,592955;1;1;0,859278779;1;0,521514663;1
bv-00110;ibmq_quito;qiskit;{00000=160, 00001=2, 00010=527, 00011=6, 00100=489, 00101=5, 00110=6847, 00111=68, 01000=2, 01010=5, 01011=1, 01100=10, 01110=70};8192;0,83581543;5;9;2;34;28;2;4;0,00083408;0,024837885;26,66666667;277,3333333;0,05634;100,7355939;106,766057;1;6;0,083400328;4;-0,04109589;5;4;0,439666669;2;0,06712566;7
bv-00110;ibmq_quito;pytket;{00000=112, 00001=2, 00010=514, 00011=4, 00100=560, 00101=12, 00110=6738, 00111=60, 01000=6, 01010=11, 01011=1, 01100=12, 01110=159, 01111=1};8192;0,822509766;5;10;2;36;30;2;4;0,00083408;0,024837885;26,66666667;277,3333333;0,05634;100,7355939;106,766057;1;7;0,064620548;7;-0,3287671;7;5;0,433743184;5;-0,18588642;7
bv-00110;ibmq_manila;qiskit;{00000=105, 00001=2, 00010=372, 00011=15, 00100=285, 00101=4, 00110=6728, 00111=208, 01000=4, 01001=1, 01010=29, 01011=2, 01100=14, 01110=373, 01111=50};8192;0,821289063;5;9;2;34;28;2;4;0,000191173;0,007548308;26,66666667;350,2222222;0,02762;195,8578339;59,11248848;5;2;0,415869686;2;0,13372473;2;6;0,326074478;3;0,01434303;7
bv-00110;ibmq_manila;pytket;{00000=115, 00001=12, 00010=388, 00011=24, 00100=292, 00101=25, 00110=6714, 00111=418, 01000=4, 01010=9, 01011=2, 01100=7, 01101=1, 01110=148, 01111=33};8192;0,819580078;5;10;2;36;30;2;4;0,000191173;0,007548308;26,66666667;350,2222222;0,02762;195,8578339;59,11248848;5;3;0,404609101;5;-0,15394653;5;7;0,32054381;6;-0,23866897;7
bv-00110;ibmq_lima;pytket;{00000=186, 00001=5, 00010=1075, 00011=9, 00100=390, 00101=15, 00110=6299, 00111=71, 01000=1, 01010=16, 01100=15, 01110=106, 01111=4};8192;0,768920898;5;10;2;36;30;2;4;0,000255855;0,010499085;26,66666667;387,5555556;0,02792;93,93756879;103,4710873;2;5;0,369313698;6;-0,315720816;7;3;0,480563892;7;-0,27768213;7
bv-00110;ibmq_lima;qiskit;{00000=125, 00001=10, 00010=465, 00011=26, 00100=1136, 00101=8, 00110=6239, 00111=64, 01000=3, 01001=1, 01010=18, 01011=1, 01100=15, 01110=78, 01111=3};8192;0,76159668;5;9;2;34;28;2;4;0,000255855;0,010499085;26,66666667;387,5555556;0,02792;93,93756879;103,4710873;2;4;0,379990147;3;-0,02804957;5;2;0,490140816;4;-0,02467008;7
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Considering Circuit & QPU;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;bv-00110;;50;50;50;50;50;50;50;0;0;50;100;0;20;50;0;;;;;;;;;;
;;;;grover-sat;;50;80;100;80;80;100;50;50;50;50;0;50;20;0;0;;;;;;;;;;
;;;;shor-fix-15 weights;;50;80;80;80;80;100;50;80;80;50;0;80;50;0;0;;;;;;;;;;
;;;;;;50;70;76,66666667;70;70;83,33333333;50;43,33333333;43,33333333;50;33,33333333;43,33333333;30;16,66666667;0;;;;;;;;;;
;;;;;;0,068493151;0,095890411;0,105022831;0,095890411;0,095890411;0,114155251;0,068493151;0,059360731;0,059360731;0,068493151;0,0456621;0,059360731;0,04109589;0,02283105;0;1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Considering Queue & Circuit & QPU;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;bv-00110;;50;50;50;50;50;50;50;0;0;50;100;0;20;50;100;;;;;;;;;;
;;;;grover-sat;;50;80;100;80;80;100;50;50;50;50;0;50;20;0;100;;;;;;;;;;
;;;;shor-fix-15 weights;;50;80;80;80;80;100;50;80;80;50;0;80;50;0;100;;;;;;;;;;
;;;;;;50;70;76,66666667;70;70;83,33333333;50;43,33333333;43,33333333;50;33,33333333;43,33333333;30;16,66666667;100;;;;;;;;;;
;;;;;;0,060240964;0,084337349;0,092369478;0,084337349;0,084337349;0,100401606;0,060240964;0,052208835;0,052208835;0,060240964;0,040160643;0,052208835;0,036144578;0,020080321;0,120481928;1;;;;;;;;;
